product_id,year,month,refund_qty
1,2022,1,9
1,2022,4,9
1,2022,6,17
1,2022,8,9
1,2022,9,18
1,2022,10,18
1,2022,11,17
1,2022,12,18
1,2023,1,26
1,2023,2,16
1,2023,3,9
1,2023,4,9
1,2023,6,9
1,2023,8,26
1,2023,9,18
1,2023,10,27
1,2023,11,26
1,2023,12,18
1,2024,2,8
1,2024,4,17
1,2024,7,9
1,2024,8,27
1,2024,9,17
1,2024,10,8
1,2024,11,28
1,2024,12,27
1,2025,1,18
1,2025,3,8
1,2025,4,8
1,2025,5,19
1,2025,6,8
1,2025,7,17
1,2025,8,18
1,2025,9,18
1,2025,10,18
2,2022,1,9
2,2022,2,51
2,2022,3,18
2,2022,4,26
2,2022,5,19
2,2022,6,55
2,2022,7,18
2,2022,8,62
2,2022,9,53
2,2022,10,37
2,2022,11,64
2,2022,12,44
2,2023,1,18
2,2023,3,28
2,2023,5,9
2,2023,6,8
2,2023,7,27
2,2023,8,27
2,2023,9,8
2,2023,11,27
2,2023,12,9
2,2024,1,18
2,2024,2,8
2,2024,3,17
2,2024,4,46
2,2024,5,45
2,2024,6,44
2,2024,7,37
2,2024,8,38
2,2024,9,9
2,2024,11,17
2,2024,12,18
2,2025,1,9
2,2025,2,16
2,2025,3,9
2,2025,4,8
2,2025,5,47
2,2025,6,44
2,2025,7,54
2,2025,8,65
2,2025,9,35
2,2025,10,26
3,2022,2,30
3,2022,4,22
3,2022,5,11
3,2022,6,21
3,2022,7,22
3,2022,8,33
3,2022,9,21
3,2022,11,44
3,2022,12,47
3,2023,1,34
3,2023,2,52
3,2023,3,80
3,2023,4,11
3,2023,5,80
3,2023,6,22
3,2023,7,11
3,2023,8,70
3,2023,9,53
3,2023,10,56
3,2023,11,75
3,2023,12,46
3,2024,1,69
3,2024,2,21
3,2024,3,34
3,2024,4,43
3,2024,5,45
3,2024,6,54
3,2024,7,46
3,2024,8,58
3,2024,9,32
3,2024,11,22
3,2024,12,82
3,2025,1,35
3,2025,2,41
3,2025,3,69
3,2025,4,33
3,2025,5,47
3,2025,6,11
3,2025,8,46
3,2025,9,45
3,2025,10,84
4,2022,1,123
4,2022,2,10
4,2022,3,127
4,2022,4,113
4,2022,5,134
4,2022,7,57
4,2022,8,11
4,2022,10,79
4,2022,11,44
4,2022,12,124
4,2023,1,70
4,2023,2,42
4,2023,3,11
4,2023,4,57
4,2023,5,11
4,2023,7,11
4,2023,8,34
4,2023,9,44
4,2023,10,11
4,2023,12,23
4,2024,1,57
4,2024,3,23
4,2024,4,22
4,2024,6,22
4,2024,7,11
4,2024,8,23
4,2024,11,10
4,2025,1,34
4,2025,3,23
4,2025,4,55
4,2025,5,34
4,2025,6,22
4,2025,8,57
4,2025,9,22
4,2025,10,34
5,2022,1,90
5,2022,2,85
5,2022,3,35
5,2022,4,100
5,2022,5,58
5,2022,6,91
5,2022,7,81
5,2022,8,46
5,2022,9,11
5,2022,10,93
5,2022,11,79
5,2022,12,83
5,2023,1,82
5,2023,2,50
5,2023,3,69
5,2023,4,66
5,2023,5,71
5,2023,6,99
5,2023,8,22
5,2023,9,128
5,2023,10,112
5,2023,11,33
5,2023,12,69
5,2024,1,70
5,2024,2,31
5,2024,3,44
5,2024,5,47
5,2024,6,55
5,2024,7,79
5,2024,8,104
5,2024,9,70
5,2024,10,11
5,2024,11,22
5,2024,12,104
5,2025,1,89
5,2025,2,10
5,2025,3,58
5,2025,4,10
5,2025,6,54
5,2025,7,34
5,2025,8,68
5,2025,9,33
5,2025,10,69
6,2022,1,7
6,2022,3,7
6,2022,5,7
6,2022,6,15
6,2022,8,15
6,2023,1,22
6,2023,2,20
6,2023,3,15
6,2023,5,15
6,2023,7,22
6,2023,9,14
6,2023,10,22
6,2023,11,21
6,2024,1,15
6,2024,2,22
6,2024,4,7
6,2024,6,7
6,2024,7,15
6,2024,8,15
6,2024,9,7
6,2024,10,23
6,2024,12,15
6,2025,1,43
6,2025,3,54
6,2025,4,36
6,2025,5,38
6,2025,7,23
6,2025,8,46
6,2025,9,14
6,2025,10,39
7,2022,1,43
7,2022,2,5
7,2022,4,47
7,2022,5,17
7,2022,7,50
7,2022,8,25
7,2022,9,23
7,2022,10,12
7,2022,11,6
7,2022,12,36
7,2023,1,51
7,2023,2,27
7,2023,3,42
7,2023,6,47
7,2023,7,29
7,2023,8,49
7,2023,9,12
7,2023,11,34
7,2023,12,6
7,2024,1,30
7,2024,2,5
7,2024,3,17
7,2024,4,11
7,2024,5,6
7,2024,6,30
7,2024,9,18
7,2024,10,29
7,2024,12,6
7,2025,1,12
7,2025,2,23
7,2025,3,6
7,2025,4,29
7,2025,5,18
7,2025,6,29
7,2025,7,5
7,2025,8,12
7,2025,9,28
8,2022,1,6
8,2022,2,45
8,2022,3,43
8,2022,4,41
8,2022,5,66
8,2022,6,5
8,2022,7,71
8,2022,8,6
8,2022,9,46
8,2022,10,66
8,2022,11,12
8,2022,12,43
8,2023,1,75
8,2023,2,60
8,2023,3,61
8,2023,4,67
8,2023,5,6
8,2023,6,57
8,2023,7,41
8,2023,8,48
8,2023,9,63
8,2023,10,18
8,2023,11,64
8,2023,12,55
8,2024,1,36
8,2024,2,5
8,2024,3,69
8,2024,4,59
8,2024,5,49
8,2024,6,6
8,2024,7,26
8,2024,8,12
8,2024,9,47
8,2024,10,37
8,2024,11,24
8,2024,12,55
8,2025,1,6
8,2025,2,21
8,2025,3,48
8,2025,4,46
8,2025,5,55
8,2025,6,41
8,2025,7,52
8,2025,8,11
8,2025,9,48
8,2025,10,23
9,2022,1,12
9,2022,2,23
9,2022,3,6
9,2022,5,23
9,2022,6,5
9,2022,7,18
9,2022,8,12
9,2022,10,24
9,2022,11,5
9,2022,12,24
9,2023,1,12
9,2023,3,18
9,2023,4,12
9,2023,5,6
9,2023,7,6
9,2023,8,24
9,2023,10,12
9,2023,11,6
9,2023,12,18
9,2024,1,17
9,2024,2,22
9,2024,3,31
9,2024,4,29
9,2024,6,29
9,2024,7,30
9,2024,8,18
9,2024,9,17
9,2024,10,18
9,2024,11,29
9,2024,12,12
9,2025,1,29
9,2025,2,5
9,2025,3,18
9,2025,4,17
9,2025,5,32
9,2025,6,28
9,2025,7,31
9,2025,8,25
9,2025,9,16
10,2022,2,5
10,2022,3,6
10,2022,4,19
10,2022,5,18
10,2022,6,16
10,2022,7,6
10,2022,10,12
10,2022,11,12
10,2022,12,18
10,2023,1,62
10,2023,2,16
10,2023,4,46
10,2023,5,17
10,2023,6,61
10,2023,7,6
10,2023,8,38
10,2023,9,51
10,2023,10,18
10,2023,11,28
10,2023,12,6
10,2024,1,37
10,2024,2,27
10,2024,3,12
10,2024,4,42
10,2024,5,55
10,2024,6,60
10,2024,7,25
10,2024,8,12
10,2024,9,42
10,2024,11,41
10,2024,12,6
10,2025,1,12
10,2025,3,6
10,2025,4,5
10,2025,5,11
10,2025,6,12
10,2025,8,11
