region,state,miles
South,AL,345
South,AZ,1749
South,AR,654
South,CA,2161
South,CO,1403
South,CT,694
South,DE,461
South,FL,379
South,GA,168
South,ID,1923
South,IL,614
South,IN,499
South,IA,877
South,KS,1015
South,KY,342
South,LA,670
South,ME,1002
South,MD,420
South,MA,758
South,MI,751
South,MN,1098
South,MS,507
South,MO,705
South,MT,1740
South,NE,1148
South,NV,1998
South,NH,838
South,NJ,552
South,NM,1433
South,NY,685
South,NC,142
South,ND,1372
South,OH,444
South,OK,941
South,OR,2212
South,PA,506
South,RI,739
South,SC,9
South,SD,1252
South,TN,328
South,TX,1078
South,UT,1732
South,VT,826
South,VA,271
South,WA,2236
South,WV,321
South,WI,875
South,WY,1557
East,AL,833
East,AZ,2027
East,AR,1012
East,CA,2364
East,CO,1602
East,CT,154
East,DE,111
East,FL,918
East,GA,708
East,ID,2002
East,IL,730
East,IN,578
East,IA,946
East,KS,1234
East,KY,574
East,LA,1138
East,ME,451
East,MD,131
East,MA,217
East,MI,574
East,MN,1026
East,MS,960
East,MO,925
East,MT,1754
East,NE,1273
East,NV,2172
East,NH,287
East,NJ,46
East,NM,1732
East,NY,162
East,NC,411
East,ND,1329
East,OH,392
East,OK,1251
East,OR,2299
East,PA,129
East,RI,211
East,SC,552
East,SD,1291
East,TN,680
East,TX,1475
East,UT,1916
East,VT,276
East,VA,283
East,WA,2262
East,WV,311
East,WI,794
East,WY,1660
West,AL,2085
West,AZ,965
West,AR,1737
West,CA,597
West,CO,976
West,CT,2472
West,DE,2415
West,FL,2466
West,GA,2252
West,ID,395
West,IL,1721
West,IN,1867
West,IA,1461
West,KS,1326
West,KY,1986
West,LA,1917
West,ME,2539
West,MD,2351
West,MA,2498
West,MI,1804
West,MN,1353
West,MS,1953
West,MO,1614
West,MT,624
West,NE,1168
West,NV,522
West,NH,2472
West,NJ,2419
West,NM,1156
West,NY,2304
West,NC,2340
West,ND,1055
West,OH,2025
West,OK,1475
West,OR,146
West,PA,2250
West,RI,2526
West,SC,2326
West,SD,1090
West,TN,1992
West,TX,1576
West,UT,700
West,VT,2412
West,VA,2299
West,WA,160
West,WV,2178
West,WI,1580
West,WY,760
Midwest,AL,709
Midwest,AZ,1411
Midwest,AR,611
Midwest,CA,1707
Midwest,CO,959
Midwest,CT,784
Midwest,DE,706
Midwest,FL,1039
Midwest,GA,757
Midwest,ID,1332
Midwest,IL,216
Midwest,IN,233
Midwest,IA,290
Midwest,KS,630
Midwest,KY,404
Midwest,LA,854
Midwest,ME,940
Midwest,MD,643
Midwest,MA,822
Midwest,MI,156
Midwest,MN,384
Midwest,MS,716
Midwest,MO,400
Midwest,MT,1093
Midwest,NE,615
Midwest,NV,1509
Midwest,NH,824
Midwest,NJ,714
Midwest,NM,1144
Midwest,NY,628
Midwest,NC,689
Midwest,ND,681
Midwest,OH,327
Midwest,OK,724
Midwest,OR,1629
Midwest,PA,543
Midwest,RI,843
Midwest,SC,735
Midwest,SD,621
Midwest,TN,502
Midwest,TX,1012
Midwest,UT,1258
Midwest,VT,769
Midwest,VA,612
Midwest,WA,1602
Midwest,WV,488
Midwest,WI,149
Midwest,WY,990
